CatBoost,Decision Tree,ElasticNet,ExtraTreeRegressor,HistGradientBoosting,KNN,Lasso Regression,LightGBM,Random Forest,Ridge Regression,SVR,XGBoost
7.43,9.68,8.48,8.17,8.14,8.24,8.75,7.55,7.31,46.9,10.29,7.16
9.81,10.85,52.99,9.94,10.29,12.42,16.69,9.45,10.74,66.89,14.79,8.89
5.63,4.58,4.4,4.98,4.93,6.75,4.34,5.12,4.53,8.44,9.79,5.21
15.48,15.54,39.03,14.31,15.62,17.18,21.93,15.69,14.45,76.98,20.8,14.48
25.21,19.93,59.07,22.51,24.01,32.88,34.16,24.31,25.8,61.4,34.01,23.96
5.97,6.75,8.38,7.17,5.28,10.62,9.14,4.41,5.66,18.4,9.76,3.8
10.91,16.39,17.12,13.96,24.9,28.95,17.12,17.33,10.64,70.6,21.42,10.28
19.46,35.84,1158.81,17.24,25.5,50.0,1174.7,23.27,29.13,1310.54,49.46,21.98
3.1,5.44,259.56,6.28,3.27,11.13,5.6,3.76,5.1,177.97,7.89,3.39
8.62,11.48,2769.56,6.88,9.38,15.55,22.16,9.47,13.17,3238.66,14.29,6.84
13.71,15.61,42.4,12.27,14.13,20.02,15.14,14.29,14.52,80.86,21.63,13.76
17.04,11.91,120.73,14.16,17.55,20.93,219.54,10.27,15.77,283.63,16.42,15.79
8.65,11.74,329.47,9.35,8.73,20.62,214.45,8.69,10.72,819.59,21.82,8.89
11.8,9.62,582.19,24.56,9.32,13.94,912.95,8.85,8.56,1420.29,19.73,10.98
13.28,16.1,42.0,13.87,13.15,26.48,24.05,12.18,14.13,40.06,18.27,14.34
10.14,13.03,23.04,14.15,12.28,8.69,16.05,11.54,13.18,208.94,12.21,11.49
13.4,13.37,2105.44,21.44,15.32,36.14,2064.81,14.72,14.12,4699.17,29.75,14.78
6.36,9.54,257.97,10.29,6.41,10.7,140.73,7.38,9.54,610.11,13.89,7.58
3.94,4.89,26.85,9.58,5.67,3.36,37.22,4.37,3.36,109.08,7.67,4.21
30.13,32.03,44.66,29.71,36.44,37.77,35.49,33.79,34.38,57.45,19.54,33.4
6.64,7.12,33.51,8.28,6.45,7.16,38.84,6.77,6.9,47.84,9.31,7.62
23.86,16.56,847.96,32.12,26.79,21.76,1136.23,25.95,28.28,1806.16,11.6,25.3
6.42,10.16,145.6,6.6,6.6,15.27,44.72,6.23,6.6,419.45,14.22,7.66
